ins,strt,to,t,mk,dc,out,ru,pre,lb,ub,opt,dev
J120_10_1,default,600000.0,595549.0,1259,1203710,SAT,5.157492916671607,99,111.0,111.0,111.0,-1034.2342342342342
J120_10_10,default,600000.0,444018.0,66,1890351,OPT,66.74517192651908,74,66.0,66.0,66.0,0.0
J120_10_6,default,600000.0,543536.0,92,1144585,OPT,54.81465997770345,72,92.0,92.0,92.0,0.0
J120_10_7,default,600000.0,596044.0,1267,3606288,SAT,4.8542697018391605,84,79.0,79.0,79.0,-1503.7974683544303
J120_10_9,default,600000.0,525444.0,77,1348619,OPT,56.709956709956714,62,77.0,77.0,77.0,0.0
J120_13_5,default,600000.0,595935.0,709,1004055,SAT,11.507452445393207,126,89.0,91.0,,
J120_14_10,default,600000.0,592664.0,568,1603380,SAT,12.662351353630767,106,80.0,81.0,,
J120_14_5,default,600000.0,565849.0,131,1425376,SAT,72.04047013207318,129,93.0,97.0,,
J120_15_1,default,600000.0,237074.0,81,526586,OPT,70.85964612846332,92,81.0,81.0,81.0,0.0
J120_15_7,default,600000.0,592775.0,783,1275705,SAT,6.834773827556506,82,75.0,75.0,75.0,-944.0
J120_15_8,default,600000.0,414056.0,126,644487,OPT,49.469627594627596,75,126.0,126.0,126.0,0.0
J120_19_3,default,600000.0,428175.0,99,688418,SAT,82.9810298102981,81,83.0,85.0,,
J120_19_8,default,600000.0,587375.0,611,570165,SAT,14.715609023571297,125,,,,
J120_1_5,default,600000.0,598255.0,1284,2213485,SAT,6.446201773304577,127,112.0,112.0,112.0,-1046.4285714285713
J120_1_7,default,600000.0,589444.0,1173,2350454,SAT,7.058113100312589,87,117.0,117.0,117.0,-902.5641025641025
J120_20_5,default,600000.0,565937.0,87,1111355,SAT,61.47473433094773,65,,,,
J120_21_7,default,600000.0,547891.0,118,962498,SAT,66.28813559322035,64,,,,
J120_22_4,default,600000.0,548145.0,682,1968050,SAT,9.899651759530792,108,,,,
J120_22_6,default,600000.0,592596.0,598,2113653,SAT,11.431784107946028,94,,,,
J120_22_7,default,600000.0,540096.0,463,2883283,SAT,15.330846259571961,95,,,,
J120_22_9,default,600000.0,534864.0,607,2457210,SAT,12.259093642948669,103,,,,
J120_23_1,default,600000.0,583027.0,841,1057177,SAT,7.33145472610884,97,,,,
J120_23_2,default,600000.0,425893.0,116,1076925,OPT,54.48275862068965,81,,,,
J120_23_4,default,600000.0,578675.0,1081,2185116,SAT,5.891630396869929,83,,,,
J120_23_6,default,600000.0,554246.0,840,2478490,SAT,7.6515151515151505,75,,,,
J120_23_7,default,600000.0,387103.0,104,887933,OPT,54.86509758897819,83,,,,
J120_23_9,default,600000.0,532422.0,106,847454,OPT,57.19883889695211,50,,,,
