ins,strt,to,t,mk,dc,out,ru,pre,lb,ub,opt,dev
J120_10_10,default,600000.0,444018.0,66,1890351,OPT,66.74517192651908,74,66.0,66.0,66.0,0.0
J120_10_6,default,600000.0,543536.0,92,1144585,OPT,54.81465997770345,72,92.0,92.0,92.0,0.0
J120_10_9,default,600000.0,525444.0,77,1348619,OPT,56.709956709956714,62,77.0,77.0,77.0,0.0
J120_15_1,default,600000.0,237074.0,81,526586,OPT,70.85964612846332,92,81.0,81.0,81.0,0.0
J120_15_8,default,600000.0,414056.0,126,644487,OPT,49.469627594627596,75,126.0,126.0,126.0,0.0
J120_23_2,default,600000.0,425893.0,116,1076925,OPT,54.48275862068965,81,,,,
J120_23_7,default,600000.0,387103.0,104,887933,OPT,54.86509758897819,83,,,,
J120_23_9,default,600000.0,532422.0,106,847454,OPT,57.19883889695211,50,,,,
J120_24_1,default,600000.0,431511.0,92,2818445,OPT,48.50859453993933,58,,,,
J120_24_4,default,600000.0,397357.0,101,845765,OPT,59.77902138039891,64,,,,
J120_24_7,default,600000.0,77229.0,110,197020,OPT,45.850267379679146,58,,,,
J120_25_5,default,600000.0,526104.0,100,1660616,OPT,44.4468085106383,78,,,,
J120_25_7,default,600000.0,137276.0,91,592154,OPT,57.330827067669176,60,,,,
J120_29_7,default,600000.0,282458.0,97,435439,OPT,68.26939327361839,76,,,,
J120_29_9,default,600000.0,428826.0,97,629523,OPT,64.25524351226449,62,,,,
J120_2_4,default,600000.0,460695.0,94,1564213,OPT,64.72853998532648,52,95.0,95.0,95.0,1.0526315789473684
J120_2_7,default,600000.0,356310.0,87,671092,OPT,70.70819428995179,59,90.0,90.0,90.0,3.3333333333333335
J120_2_8,default,600000.0,337769.0,82,1747956,OPT,66.41502129307007,59,83.0,83.0,83.0,1.2048192771084338
J120_30_4,default,600000.0,550460.0,83,1312843,OPT,70.83628632175761,74,,,,
J120_3_3,default,600000.0,347446.0,100,1746182,OPT,50.45783132530121,81,100.0,100.0,100.0,0.0
J120_3_4,default,600000.0,185683.0,71,637224,OPT,59.66262692433671,52,71.0,71.0,71.0,0.0
