ins,strt,to,t,mk,dc,out,ru,pre,lb,ub,opt,dev
J120_10_1,default,600000.0,595549.0,1259,1203710,SAT,5.157492916671607,99,111.0,111.0,111.0,-1034.2342342342342
J120_10_7,default,600000.0,596044.0,1267,3606288,SAT,4.8542697018391605,84,79.0,79.0,79.0,-1503.7974683544303
J120_13_5,default,600000.0,595935.0,709,1004055,SAT,11.507452445393207,126,89.0,91.0,,
J120_14_10,default,600000.0,592664.0,568,1603380,SAT,12.662351353630767,106,80.0,81.0,,
J120_14_5,default,600000.0,565849.0,131,1425376,SAT,72.04047013207318,129,93.0,97.0,,
J120_15_7,default,600000.0,592775.0,783,1275705,SAT,6.834773827556506,82,75.0,75.0,75.0,-944.0
J120_19_3,default,600000.0,428175.0,99,688418,SAT,82.9810298102981,81,83.0,85.0,,
J120_19_8,default,600000.0,587375.0,611,570165,SAT,14.715609023571297,125,,,,
J120_1_5,default,600000.0,598255.0,1284,2213485,SAT,6.446201773304577,127,112.0,112.0,112.0,-1046.4285714285713
J120_1_7,default,600000.0,589444.0,1173,2350454,SAT,7.058113100312589,87,117.0,117.0,117.0,-902.5641025641025
J120_20_5,default,600000.0,565937.0,87,1111355,SAT,61.47473433094773,65,,,,
J120_21_7,default,600000.0,547891.0,118,962498,SAT,66.28813559322035,64,,,,
J120_22_4,default,600000.0,548145.0,682,1968050,SAT,9.899651759530792,108,,,,
J120_22_6,default,600000.0,592596.0,598,2113653,SAT,11.431784107946028,94,,,,
J120_22_7,default,600000.0,540096.0,463,2883283,SAT,15.330846259571961,95,,,,
J120_22_9,default,600000.0,534864.0,607,2457210,SAT,12.259093642948669,103,,,,
J120_23_1,default,600000.0,583027.0,841,1057177,SAT,7.33145472610884,97,,,,
J120_23_4,default,600000.0,578675.0,1081,2185116,SAT,5.891630396869929,83,,,,
J120_23_6,default,600000.0,554246.0,840,2478490,SAT,7.6515151515151505,75,,,,
J120_24_2,default,600000.0,599397.0,128,1534572,SAT,47.43990384615385,96,,,,
J120_24_6,default,600000.0,525031.0,109,2788396,SAT,44.91145722210369,80,,,,
J120_28_6,default,600000.0,579404.0,418,1341450,SAT,20.71915325503842,102,,,,
J120_28_8,default,600000.0,569092.0,809,1469789,SAT,10.860531783394261,123,,,,
J120_29_5,default,600000.0,591467.0,1186,2822748,SAT,6.842036401697971,141,,,,
J120_2_2,default,600000.0,544648.0,83,1605162,SAT,65.85727525486563,73,75.0,75.0,75.0,-10.666666666666668
J120_2_5,default,600000.0,560427.0,107,990937,SAT,68.00253445271662,56,103.0,103.0,103.0,-3.8834951456310676
J120_2_6,default,600000.0,527873.0,95,1500392,SAT,70.62200956937798,86,92.0,92.0,92.0,-3.260869565217391
J120_30_2,default,600000.0,560860.0,297,2932993,SAT,23.005970064793594,91,,,,
J120_30_5,default,600000.0,416577.0,90,794627,SAT,74.60837887067396,61,,,,
J120_35_9,default,600000.0,560258.0,101,625801,SAT,72.15492137449039,83,,,,
J120_39_1,default,600000.0,582040.0,119,394861,SAT,77.96982429335371,114,,,,
J120_40_5,default,600000.0,586201.0,618,903071,SAT,13.449506265040245,104,,,,
J120_40_6,default,600000.0,589323.0,1082,1107272,SAT,5.727742120304752,93,,,,
J120_41_6,default,600000.0,465385.0,111,576936,SAT,66.72182386468101,35,,,,
J120_41_7,default,600000.0,496350.0,115,2420985,SAT,64.98669032830523,46,,,,
J120_42_5,default,600000.0,583406.0,130,1466904,SAT,62.01398601398601,63,,,,
J120_42_7,default,600000.0,553068.0,701,1247763,SAT,9.760874295800189,102,,,,
J120_43_1,default,600000.0,587127.0,783,2647985,SAT,7.976485613402449,111,,,,
J120_43_2,default,600000.0,592259.0,1148,876352,SAT,5.8028455284552845,66,,,,
J120_43_3,default,600000.0,581702.0,943,2048091,SAT,6.493571049840933,88,,,,
J120_44_7,default,600000.0,582828.0,857,1333129,SAT,6.861712724478471,105,,,,
J120_45_2,default,600000.0,578203.0,928,2701838,SAT,5.455779054916985,78,,,,
J120_48_10,default,600000.0,566851.0,585,2180765,SAT,16.777152386908483,114,,,,
J120_49_4,default,600000.0,577527.0,814,1155538,SAT,9.440062071641018,111,,,,
J120_49_9,default,600000.0,596209.0,100,1125331,SAT,72.68421052631578,47,,,,
J120_4_1,default,600000.0,560866.0,722,1838212,SAT,6.221793395374895,91,74.0,74.0,74.0,-875.6756756756756
J120_4_5,default,600000.0,577988.0,85,1567018,SAT,58.6046511627907,77,74.0,74.0,74.0,-14.864864864864865
J120_4_6,default,600000.0,565591.0,291,2467320,SAT,17.42819566416359,96,90.0,90.0,90.0,-223.33333333333334
J120_54_1,default,600000.0,598321.0,240,1290195,SAT,40.29810298102981,99,,,,
J120_54_10,default,600000.0,585430.0,648,770343,SAT,13.449013317779723,85,,,,
J120_55_8,default,600000.0,580192.0,1081,774347,SAT,7.72673210231027,90,,,,
J120_5_1,default,600000.0,588768.0,1170,3216163,SAT,3.4853801169590644,82,92.0,92.0,92.0,-1171.7391304347825
J120_5_2,default,600000.0,594707.0,742,600281,SAT,5.873239791420007,121,80.0,80.0,80.0,-827.5
J120_5_5,default,600000.0,562179.0,354,1583423,SAT,9.51198129748685,95,77.0,77.0,77.0,-359.7402597402597
J120_5_6,default,600000.0,578408.0,1041,1028286,SAT,4.284538022701876,79,88.0,88.0,88.0,-1082.9545454545455
J120_5_7,default,600000.0,596207.0,869,857289,SAT,4.943044439559871,72,84.0,84.0,84.0,-934.5238095238095
J120_60_10,default,600000.0,587648.0,101,780301,SAT,71.98946495634785,66,,,,
J120_7_2,default,600000.0,539360.0,138,675500,SAT,73.3013363448146,83,113.0,114.0,,
J120_8_7,default,600000.0,547701.0,105,963858,SAT,73.37547408343869,111,87.0,87.0,87.0,-20.689655172413794
J120_9_10,default,600000.0,594800.0,729,2109649,SAT,9.61389181314533,117,84.0,84.0,84.0,-767.8571428571429
J120_9_3,default,600000.0,568287.0,94,568259,SAT,72.33117483811286,85,87.0,87.0,87.0,-8.045977011494253
J30_13_1,default,600000.0,482810.0,62,847712,SAT,76.40300486080424,11,58.0,58.0,58.0,-6.896551724137931
J30_13_10,default,600000.0,84181.0,65,222901,SAT,69.0909090909091,9,64.0,64.0,64.0,-1.5625
J30_13_2,default,600000.0,489194.0,69,1055066,SAT,73.91304347826086,13,62.0,62.0,62.0,-11.29032258064516
J30_13_3,default,600000.0,239918.0,76,331730,SAT,75.86348684210526,3,76.0,76.0,76.0,0.0
